venue,innings,batting_team,bowling_team,batsmen,bowlers,y_actual
M Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"GC Smith,M Rawat,YK Pathan,SR Watson","P Kumar,Z Khan,R Vinay Kumar",45
Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,"L Ronchi,ST Jayasuriya,AM Rahane,RV Uthappa,SM Pollock","RP Singh,DNT Zoysa,SB Bangar,Shahid Afridi",27
Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,"AC Gilchrist,VVS Laxman","A Nehra,SM Pollock,DS Kulkarni,ST Jayasuriya,SD Chitnis",60
"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,Kings XI Punjab,"G Gambhir,V Sehwag,S Dhawan,Shoaib Malik","B Lee,IK Pathan,S Sreesanth,VRV Singh",45
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Delhi Daredevils,"K Goel,SM Katich,KC Sangakkara,DPMD Jayawardene","GD McGrath,Mohammad Asif,MF Maharoof",55
M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,"PA Patel,ML Hayden,MEK Hussey","DW Steyn,Z Khan,P Kumar",36
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,"B Chipli,W Jaffer,LRPL Taylor","JDP Oram,MS Gony",45
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,"BB McCullum,SC Ganguly,RT Ponting,DB Das,DJ Hussey","SM Pollock,A Nehra,CRD Fernando,DS Kulkarni,DJ Bravo",40
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,"AM Rahane,ST Jayasuriya,MK Pandey,RV Uthappa,DJ Bravo","AB Agarkar,I Sharma,AB Dinda",38
Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,"G Gambhir,V Sehwag,S Dhawan","DW Steyn,Z Khan,P Kumar",58
Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,"P Kumar,LRPL Taylor,W Jaffer,JH Kallis,R Dravid","GD McGrath,Mohammad Asif,VY Mahesh",55
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"GC Smith,SA Asnodkar,M Kaif","AB Dinda,I Sharma,AB Agarkar,Umar Gul",45
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"Salman Butt,SC Ganguly,AB Agarkar,BJ Hodge","SR Watson,Sohail Tanvir,SK Trivedi",51
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Kings XI Punjab,"AC Gilchrist,VVS Laxman,HH Gibbs","S Sreesanth,IK Pathan,VRV Singh",50
"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Deccan Chargers,"SE Marsh,RR Sarwan","RP Singh,DNT Zoysa,Shahid Afridi,SB Bangar",41
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,"PA Patel,SP Fleming,S Vidyut","GD McGrath,Mohammad Asif,VY Mahesh,PJ Sangwan",47
"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,"G Gambhir,V Sehwag","M Ntini,MS Gony,JA Morkel",64
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,"SE Marsh,JR Hopes,KC Sangakkara","I Sharma,AB Agarkar,AB Dinda",49
"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,"Mohammad Hafeez,SC Ganguly,BJ Hodge,DB Das,LR Shukla,DJ Hussey","S Sreesanth,IK Pathan",31
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,"B Chipli,W Jaffer,V Kohli","DP Vijaykumar,RP Singh,SB Styris,Shahid Afridi",46
M Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,"AC Gilchrist,VVS Laxman,HH Gibbs,RG Sharma","DW Steyn,Z Khan,P Kumar",33
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,"PA Patel,S Vidyut,SP Fleming,SK Raina,S Badrinath","Sohail Tanvir,SR Watson,MM Patel,SK Trivedi",38
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,"GC Smith,SA Asnodkar","M Ntini,MS Gony",44
Dr DY Patil Sports Academy,1,Mumbai Indians,Delhi Daredevils,"YV Takawale,ST Jayasuriya","GD McGrath,Mohammad Asif,VY Mahesh",50
Dr DY Patil Sports Academy,2,Delhi Daredevils,Mumbai Indians,"G Gambhir,V Sehwag,S Dhawan,AB de Villiers","SM Pollock,A Nehra,DJ Bravo",37
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"W Jaffer,CL White,JH Kallis,V Kohli,R Dravid","S Sreesanth,IK Pathan,Gagandeep Singh",26
M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,"SE Marsh,JR Hopes,RR Sarwan","DW Steyn,Z Khan,P Kumar,JH Kallis",52
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Deccan Chargers,"PA Patel,S Anirudha,SP Fleming,SK Raina,S Badrinath","DP Vijaykumar,RP Singh,SB Styris",34
"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,Chennai Super Kings,"AC Gilchrist,HH Gibbs,SB Styris","M Ntini,MS Gony,JA Morkel",50
Dr DY Patil Sports Academy,1,Rajasthan Royals,Mumbai Indians,"GC Smith,SA Asnodkar,YK Pathan,SR Watson","SM Pollock,A Nehra,DS Kulkarni",48
Dr DY Patil Sports Academy,2,Mumbai Indians,Rajasthan Royals,"YV Takawale,ST Jayasuriya","Sohail Tanvir,MM Patel,SK Trivedi",34
Feroz Shah Kotla,1,Delhi Daredevils,Chennai Super Kings,"G Gambhir,V Sehwag,AB de Villiers,S Dhawan","MS Gony,JA Morkel",50
Feroz Shah Kotla,2,Chennai Super Kings,Delhi Daredevils,"S Vidyut,SP Fleming","GD McGrath,Mohammad Asif,VY Mahesh,PJ Sangwan",62
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"A Chopra,BJ Hodge,SC Ganguly,DJ Hussey","DW Steyn,Z Khan,P Kumar,R Vinay Kumar",41
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"J Arunkumar,S Chanderpaul,MV Boucher,R Dravid","AB Dinda,I Sharma,Umar Gul,SC Ganguly",35
Sawai Mansingh Stadium,1,Deccan Chargers,Rajasthan Royals,"AC Gilchrist,HH Gibbs","Sohail Tanvir,SR Watson,MM Patel",50
Sawai Mansingh Stadium,2,Rajasthan Royals,Deccan Chargers,"GC Smith,YK Pathan","DP Vijaykumar,RP Singh,SB Styris,PP Ojha",50
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kings XI Punjab,"S Vidyut,SK Raina,SP Fleming,S Badrinath","S Sreesanth,IK Pathan,VRV Singh",53
"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,Chennai Super Kings,"SE Marsh,JR Hopes,K Goel,RR Sarwan","MS Gony,JA Morkel",35
"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Deccan Chargers,"Salman Butt,SC Ganguly,A Chopra","WPUJC Vaas,DP Vijaykumar,SB Styris,RP Singh",43
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kolkata Knight Riders,"AC Gilchrist,HH Gibbs,DB Ravi Teja,SB Styris,RG Sharma","AB Dinda,I Sharma,Umar Gul",55
Sawai Mansingh Stadium,1,Delhi Daredevils,Rajasthan Royals,"G Gambhir,V Sehwag","AD Mascarenhas,SR Watson,MM Patel",47
Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Daredevils,"YK Pathan,GC Smith,M Kaif,SR Watson","GD McGrath,MF Maharoof,PJ Sangwan",21
"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,Kings XI Punjab,"J Arunkumar,V Kohli,Misbah-ul-Haq,R Dravid,CL White","S Sreesanth,IK Pathan,PP Chawla",50
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Royal Challengers Bangalore,"SE Marsh,JR Hopes","DW Steyn,Z Khan,P Kumar",42
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,"Salman Butt,A Chopra","GD McGrath,PJ Sangwan,VY Mahesh",35
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,"G Gambhir,V Sehwag,AB de Villiers,MK Tiwary,TM Dilshan,S Dhawan","Shoaib Akhtar,I Sharma,AB Dinda",37
Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,"S Vidyut,SP Fleming,SK Raina","SM Pollock,A Nehra,DJ Bravo",28
Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,"ST Jayasuriya,SR Tendulkar","MS Gony,JA Morkel",78
Feroz Shah Kotla,1,Delhi Daredevils,Deccan Chargers,"G Gambhir,V Sehwag,S Dhawan","DP Vijaykumar,RP Singh,PM Sarvesh Kumar",48
Feroz Shah Kotla,2,Deccan Chargers,Delhi Daredevils,"AC Gilchrist,Shahid Afridi,HH Gibbs","GD McGrath,Mohammad Asif,MF Maharoof",71
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,"Salman Butt,A Chopra,SC Ganguly,DJ Hussey,Mohammad Hafeez","SM Pollock,A Nehra,DJ Bravo",27
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,"ST Jayasuriya,SR Tendulkar,RV Uthappa,DJ Thornely","Shoaib Akhtar,I Sharma,AB Agarkar",68
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"GC Smith,SA Asnodkar","Z Khan,P Kumar,JH Kallis",51
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"J Arunkumar,V Kohli,Misbah-ul-Haq,JH Kallis,CL White","Sohail Tanvir,MM Patel",23
Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,"G Gambhir,V Sehwag","S Sreesanth,IK Pathan,VRV Singh",68
Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,"SE Marsh,JR Hopes,Yuvraj Singh,LA Pomersbach,DPMD Jayawardene","GD McGrath,PJ Sangwan,A Mishra,V Sehwag",73
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Deccan Chargers,"ST Jayasuriya,SR Tendulkar,DJ Thornely","DP Vijaykumar,DNT Zoysa,Y Venugopal Rao,RP Singh",57
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Mumbai Indians,"AC Gilchrist,Shahid Afridi,RG Sharma,Y Venugopal Rao,LPC Silva","A Nehra,DJ Bravo,CRD Fernando,RR Raje",32
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,"Salman Butt,Mohammad Hafeez,SC Ganguly,DB Das","M Ntini,MS Gony",35
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,"PA Patel,SP Fleming","Shoaib Akhtar,I Sharma,AB Dinda,AB Agarkar",43
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,"JH Kallis,B Chipli,SP Goswami","GD McGrath,PJ Sangwan,VY Mahesh",41
M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,"G Gambhir,V Sehwag","DW Steyn,Z Khan,P Kumar,JH Kallis",71
Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,"Salman Butt,Mohammad Hafeez,SC Ganguly","Sohail Tanvir,MM Patel,SR Watson",32
Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,"GC Smith,SA Asnodkar,Sohail Tanvir","AB Dinda,I Sharma,AB Agarkar,Umar Gul",42
Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,"SE Marsh,JR Hopes,LA Pomersbach","SM Pollock,A Nehra,VS Yeligati",43
Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,"ST Jayasuriya,SR Tendulkar,DR Smith","S Sreesanth,IK Pathan,VRV Singh",68
"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,"JH Kallis,SP Goswami,V Kohli,R Dravid","M Ntini,MS Gony",23
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,"PA Patel,SP Fleming","DW Steyn,P Kumar,A Kumble,JH Kallis",44
"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,Kings XI Punjab,"AC Gilchrist,HH Gibbs","S Sreesanth,VRV Singh,RR Powar",42
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Deccan Chargers,"SE Marsh,KC Sangakkara","RP Singh,DP Vijaykumar,Y Venugopal Rao,SB Styris",74
Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,"ST Jayasuriya,SR Tendulkar","GD McGrath,B Geeves,MF Maharoof,VY Mahesh",60
Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,"G Gambhir,V Sehwag,S Dhawan,MK Tiwary","SM Pollock,A Nehra,A Nel,DS Kulkarni",56
"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,"GC Smith,SA Asnodkar","M Ntini,MS Gony,JA Morkel",67
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,"PA Patel,SP Fleming,SK Raina","Sohail Tanvir,YK Pathan,MM Patel,Pankaj Singh",65
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,"AC Gilchrist,HH Gibbs","A Kumble,DW Steyn,JH Kallis",41
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,"JH Kallis,W Jaffer,Misbah-ul-Haq","WPUJC Vaas,RP Singh,SB Bangar,DP Vijaykumar",43
Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,"SE Marsh,JR Hopes,KC Sangakkara","Umar Gul,I Sharma,BAW Mendis",47
Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,"Salman Butt,SC Ganguly,DB Das,DJ Hussey","IK Pathan,S Sreesanth,RR Powar",51
Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,"ST Jayasuriya,SR Tendulkar","Sohail Tanvir,SR Watson,Pankaj Singh,YK Pathan",29
Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,"Kamran Akmal,SA Asnodkar,YK Pathan,SR Watson","SM Pollock,A Nehra,CRD Fernando",36
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Chennai Super Kings,"AC Gilchrist,HH Gibbs,SB Styris,Y Venugopal Rao","M Ntini,MS Gony",26
"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Deccan Chargers,"PA Patel,SP Fleming,SK Raina","RP Singh,DP Vijaykumar,Shahid Afridi",44
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"MV Boucher,SP Goswami","SM Pollock,A Nehra,CRD Fernando",36
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"ST Jayasuriya,SR Tendulkar","A Kumble,DW Steyn,P Kumar,R Vinay Kumar",39
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,"SE Marsh,JR Hopes","MM Patel,SR Watson,Pankaj Singh",51
"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,"M Kaif,Niraj Patel,Younis Khan,SR Watson","IK Pathan,S Sreesanth,JR Hopes",38
Wankhede Stadium,1,Rajasthan Royals,Delhi Daredevils,"GC Smith,SA Asnodkar","GD McGrath,Mohammad Asif,VY Mahesh",58
Wankhede Stadium,2,Delhi Daredevils,Rajasthan Royals,"G Gambhir,V Sehwag,S Dhawan,MK Tiwary,TM Dilshan","Sohail Tanvir,SR Watson,MM Patel",28
Wankhede Stadium,1,Kings XI Punjab,Chennai Super Kings,"SE Marsh,JR Hopes,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene","M Muralitharan,M Ntini,MS Gony",35
Wankhede Stadium,2,Chennai Super Kings,Kings XI Punjab,"PA Patel,S Vidyut,SK Raina","IK Pathan,S Sreesanth,RR Powar,VRV Singh",35
Dr DY Patil Sports Academy,1,Chennai Super Kings,Rajasthan Royals,"PA Patel,S Vidyut,SK Raina","Sohail Tanvir,SR Watson,MM Patel,YK Pathan",42
Dr DY Patil Sports Academy,2,Rajasthan Royals,Chennai Super Kings,"Niraj Patel,SA Asnodkar,Kamran Akmal","M Ntini,MS Gony",41
Newlands,1,Royal Challengers Bangalore,Rajasthan Royals,"JD Ryder,LRPL Taylor,KP Pietersen,RV Uthappa,R Dravid","AD Mascarenhas,Kamran Khan,MM Patel",29
Newlands,2,Rajasthan Royals,Royal Challengers Bangalore,"GC Smith,SA Asnodkar,Niraj Patel,T Henderson","P Kumar,DW Steyn,R Vinay Kumar",14
Newlands,1,Mumbai Indians,Chennai Super Kings,"ST Jayasuriya,SR Tendulkar","MS Gony,T Thushara,A Flintoff",40
Newlands,2,Chennai Super Kings,Mumbai Indians,"PA Patel,SK Raina,ML Hayden,A Flintoff","SL Malinga,Z Khan,DJ Bravo",40
Newlands,1,Kings XI Punjab,Delhi Daredevils,"RS Bopara,K Goel","DP Nannes,AM Salvi,PJ Sangwan,VY Mahesh",67
Newlands,2,Delhi Daredevils,Kings XI Punjab,"G Gambhir,V Sehwag","IK Pathan,YA Abdulla,VS Malik,VRV Singh,PP Chawla",58
Newlands,1,Kolkata Knight Riders,Deccan Chargers,"BB McCullum,CH Gayle,SC Ganguly,BJ Hodge,A Chopra","FH Edwards,RP Singh,Harmeet Singh",21
Newlands,2,Deccan Chargers,Kolkata Knight Riders,"AC Gilchrist,HH Gibbs,VVS Laxman,RG Sharma","AB Dinda,I Sharma",37
St George's Park,1,Chennai Super Kings,Royal Challengers Bangalore,"PA Patel,ML Hayden","P Kumar,DW Steyn,JH Kallis,R Vinay Kumar",68
St George's Park,2,Royal Challengers Bangalore,Chennai Super Kings,"P Kumar,JH Kallis,RV Uthappa,LRPL Taylor","MS Gony,L Balaji,JA Morkel",46
Kingsmead,1,Kings XI Punjab,Kolkata Knight Riders,"RS Bopara,K Goel,IK Pathan","I Sharma,AB Dinda,MC Henriques",46
Kingsmead,2,Kolkata Knight Riders,Kings XI Punjab,"BB McCullum,CH Gayle,BJ Hodge","IK Pathan,YA Abdulla,VS Malik",60
Newlands,1,Deccan Chargers,Royal Challengers Bangalore,"AC Gilchrist,HH Gibbs,VVS Laxman","P Kumar,DW Steyn,JH Kallis",62
Newlands,2,Royal Challengers Bangalore,Deccan Chargers,"JD Ryder,JH Kallis,RV Uthappa,KP Pietersen","FH Edwards,RP Singh,Harmeet Singh",31
Kingsmead,1,Delhi Daredevils,Chennai Super Kings,"G Gambhir,AB de Villiers,V Sehwag,TM Dilshan","L Balaji,MS Gony,JA Morkel,A Flintoff",59
Kingsmead,2,Chennai Super Kings,Delhi Daredevils,"PA Patel,ML Hayden,SK Raina","DP Nannes,A Nehra,AM Salvi,PJ Sangwan",61
Newlands,1,Rajasthan Royals,Kolkata Knight Riders,"GC Smith,PC Valthaty,RJ Quiney,YK Pathan","I Sharma,Anureet Singh,AB Agarkar",54
Newlands,2,Kolkata Knight Riders,Rajasthan Royals,"CH Gayle,BB McCullum,LR Shukla","YK Pathan,AD Mascarenhas",38
Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,"JD Ryder,RV Uthappa,JH Kallis,KP Pietersen,R Dravid","RR Bose,IK Pathan,YA Abdulla",49
Kingsmead,2,Kings XI Punjab,Royal Challengers Bangalore,"RS Bopara,K Goel","P Kumar,Pankaj Singh,JH Kallis,R Vinay Kumar",44
Kingsmead,1,Deccan Chargers,Mumbai Indians,"AC Gilchrist,HH Gibbs","SL Malinga,Z Khan,DJ Bravo,Harbhajan Singh",55
Kingsmead,2,Mumbai Indians,Deccan Chargers,"ST Jayasuriya,SR Tendulkar,JP Duminy","FH Edwards,RP Singh,Harmeet Singh",50
St George's Park,1,Royal Challengers Bangalore,Delhi Daredevils,"JH Kallis,KP Pietersen,RV Uthappa,LRPL Taylor","DP Nannes,A Nehra,PJ Sangwan",45
St George's Park,2,Delhi Daredevils,Royal Challengers Bangalore,"G Gambhir,V Sehwag,TM Dilshan,AB de Villiers","R Vinay Kumar,Pankaj Singh,JH Kallis",43
Newlands,1,Kings XI Punjab,Rajasthan Royals,"RS Bopara,KC Sangakkara,Yuvraj Singh","Kamran Khan,AD Mascarenhas,MM Patel,YK Pathan",38
Newlands,2,Rajasthan Royals,Kings XI Punjab,"SA Asnodkar,GC Smith,RJ Quiney,YK Pathan,AD Mascarenhas,RA Jadeja","RR Powar,IK Pathan,YA Abdulla,VRV Singh",32
Kingsmead,1,Chennai Super Kings,Deccan Chargers,"PA Patel,SK Raina,ML Hayden","FH Edwards,RP Singh,DR Smith,Y Venugopal Rao",62
Kingsmead,2,Deccan Chargers,Chennai Super Kings,"AC Gilchrist,HH Gibbs,VVS Laxman","L Balaji,MS Gony,JA Morkel,M Muralitharan,SK Raina",69
St George's Park,1,Mumbai Indians,Kolkata Knight Riders,"ST Jayasuriya,SR Tendulkar","I Sharma,AB Dinda,SC Ganguly",61
St George's Park,2,Kolkata Knight Riders,Mumbai Indians,"BB McCullum,CH Gayle,BJ Hodge,SC Ganguly","Z Khan,SL Malinga,DJ Bravo,Harbhajan Singh",47
SuperSport Park,1,Delhi Daredevils,Rajasthan Royals,"G Gambhir,V Sehwag,AB de Villiers,TM Dilshan","AD Mascarenhas,Kamran Khan,MM Patel",42
SuperSport Park,2,Rajasthan Royals,Delhi Daredevils,"RJ Quiney,GC Smith,SA Asnodkar,PC Valthaty","DP Nannes,A Nehra,PJ Sangwan",33
Kingsmead,1,Kolkata Knight Riders,Royal Challengers Bangalore,"BB McCullum,BJ Hodge,CH Gayle","KP Pietersen,RE van der Merwe,Pankaj Singh,P Kumar,A Kumble",45
Kingsmead,2,Royal Challengers Bangalore,Kolkata Knight Riders,"JH Kallis,SP Goswami","I Sharma,AB Agarkar,M Kartik,CH Gayle",46
Kingsmead,1,Kings XI Punjab,Mumbai Indians,"RS Bopara,K Goel,KC Sangakkara,Yuvraj Singh","Z Khan,SL Malinga,Harbhajan Singh,DJ Bravo",26
Kingsmead,2,Mumbai Indians,Kings XI Punjab,"ST Jayasuriya,S Dhawan,SR Tendulkar,JP Duminy,DJ Bravo","IK Pathan,VS Malik,RR Powar,YA Abdulla",23
SuperSport Park,1,Chennai Super Kings,Rajasthan Royals,"PA Patel,ML Hayden,SK Raina,S Badrinath","AD Mascarenhas,YK Pathan",40
SuperSport Park,2,Rajasthan Royals,Chennai Super Kings,"RJ Quiney,GC Smith,SA Asnodkar,RA Jadeja","S Tyagi,JA Morkel,JDP Oram",38
SuperSport Park,1,Deccan Chargers,Delhi Daredevils,"AC Gilchrist,HH Gibbs,AA Bilakhia,RG Sharma","DP Nannes,A Nehra,PJ Sangwan",37
SuperSport Park,2,Delhi Daredevils,Deccan Chargers,"G Gambhir,V Sehwag,AB de Villiers,TM Dilshan","FH Edwards,RP Singh,Shoaib Ahmed",41
Buffalo Park,1,Mumbai Indians,Kolkata Knight Riders,"ST Jayasuriya,SR Tendulkar,Harbhajan Singh","I Sharma,AB Dinda,LR Shukla,M Kartik",40
Buffalo Park,2,Kolkata Knight Riders,Mumbai Indians,"CH Gayle,SC Ganguly,BJ Hodge,MN van Wyk","Z Khan,GR Napier,Harbhajan Singh,SL Malinga",26
